company,ticker,year,segment,industry,hq_country,ceo_sust_statem,revenue_MEUR,num_employees,environmental_policy_and_assessment,environmental_performance_targets,reduced_environmental_impact,energy_consump_GJ,increased_renewable_energy,disclosure_of_raw_material_use,resource_efficiency_target,water_withdraw_thm3,disclosure_of_water_discharges,ghg_emis_kt,transport_emis_kt,external_audit_of_ESG_report,supplier_guidelines,disclosure_of_suppliers_audited,disclosure_of_supplier_evaluation_procedures,supplier_environmental_assessment,base_year,years_esg_data,energy_consump_bool,water_withdraw_bool,ghg_emis_bool,transport_emis_bool,ghg_emis_per_MEUR_revenue,water_withdraw_per_MEUR_revenue,csrd_2025,csrd_2027
Nordic Nanovector ASA,NANOV,2020,Mid,Health Care,Norway,0,,22.0,0,0,0,,0,0,0,,0,,,1,1,0,0,0,2020,1,0,0,0,0,,,0,0
Kværner ASA,KVAER,2019,Mid,Energy and Utilities,Norway,1,917.5318475,2833.0,1,1,1,1476.0,1,0,1,,0,,,0,1,1,1,1,2019,1,1,0,0,0,,,1,0
Selvaag Bolig ASA,SBO,2019,Mid,Finance,Norway,1,342.2458807,90.0,1,1,1,,0,0,1,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,1
Selvaag Bolig ASA,SBO,2020,Mid,Finance,Norway,1,274.0811475,74.0,1,1,1,,0,0,1,,0,,,0,1,0,0,0,2019,4,0,0,0,0,,,0,1
Selvaag Bolig ASA,SBO,2021,Mid,Finance,Norway,1,345.6740283,62.0,1,0,1,1750.68,0,1,0,,0,0.0212,20.1043,0,1,0,0,1,2019,4,1,0,1,1,6.132945568476775e-05,,0,1
Selvaag Bolig ASA,SBO,2022,Mid,Finance,Norway,0,286.6962247,85.0,1,1,1,,0,0,1,,0,0.1902,25.55604,0,1,0,1,1,2019,4,0,0,1,1,0.0006634199672459098,,0,1
NEXT Biometrics Group ASA,NEXT,2020,Mid,Technology,Norway,0,5.870293992,25.0,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2020,1,0,0,0,0,,,0,1
SpareBank 1 SR-Bank,SRBANK,2021,Large,Finance,Norway,1,685.101282,1494.0,1,1,1,,0,0,0,,0,0.1655,0.1223,1,1,1,1,1,2019,4,0,0,1,1,0.0002415701215984588,,1,0
SpareBank 1 SR-Bank,SRBANK,2022,Large,Finance,Norway,0,697.0206869,1543.0,1,1,1,24840.0,0,0,0,,0,0.0693,1463.3983,1,1,0,1,0,2019,4,1,0,1,1,9.942316103731699e-05,,1,0
SpareBank 1 SR-Bank,SRBANK,2019,Large,Finance,Norway,1,582.3970418,1373.0,1,0,0,,0,0,1,,0,0.2531,0.4479,1,1,0,0,1,2019,4,0,0,1,1,0.0004345832513464528,,1,0
SpareBank 1 SR-Bank,SRBANK,2020,Large,Finance,Norway,1,633.5967817,1355.0,1,1,1,,0,0,0,,0,0.2279,0.1098,1,1,1,1,1,2019,4,0,0,1,1,0.00035969248358320695,,1,0
B2Holding ASA,B2H,2019,Mid,Finance,Norway,0,291.9424409,2781.0,1,1,1,,0,0,1,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,1,0
B2Holding ASA,B2H,2020,Mid,Finance,Norway,1,227.3512262,2131.0,1,0,1,,0,0,0,,0,0.42914,0.10078,0,1,1,0,0,2019,4,0,0,1,1,0.001887564044288405,,1,0
B2Holding ASA,B2H,2021,Mid,Finance,Norway,1,320.5063085,2221.0,1,1,1,,0,0,0,,0,0.96599,1.21814,0,0,0,0,0,2019,4,0,0,1,1,0.0030139500358695747,,1,0
B2Holding ASA,B2H,2022,Mid,Finance,Norway,0,245.4812154,2099.0,1,1,1,,0,0,0,,0,0.867,0.347,0,0,0,0,0,2019,4,0,0,1,1,0.0035318384691360788,,1,0
BerGenBio ASA,BGBIO,2019,Mid,Health Care,Norway,0,0.904122392,26.0,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,1
BerGenBio ASA,BGBIO,2020,Mid,Health Care,Norway,1,0.061053658,36.0,0,1,0,,0,0,0,,0,,,0,1,0,0,0,2019,4,0,0,0,0,,,0,0
BerGenBio ASA,BGBIO,2021,Mid,Health Care,Norway,0,0.078628172,42.0,1,0,0,,0,0,0,,0,0.00589,0.01754,0,1,0,0,0,2019,4,0,0,1,1,0.07490953751283955,,0,0
BerGenBio ASA,BGBIO,2022,Mid,Health Care,Norway,0,0.038504916,25.0,1,1,1,,0,0,0,,0,0.00564,0.049,0,1,0,1,1,2019,4,0,0,1,1,0.1464748033731589,,0,0
Ocean Yield ASA,OCYO,2019,Mid,Energy and Utilities,Norway,0,229.4642857,17.0,1,1,1,,0,0,1,,0,,,0,1,1,1,0,2019,2,0,0,0,0,,,0,1
Ocean Yield ASA,OCYO,2020,Mid,Energy and Utilities,Norway,1,231.0714286,13.0,1,1,1,,0,0,1,,0,10000000.0,1210000000.0,0,0,0,0,0,2019,2,0,0,1,1,43276.6615093321,,0,1
Borregaard ASA,BRG,2019,Mid,Basic Materials,Sweden,1,502.9561755,1103.0,1,1,1,6235200.0,0,0,0,55576.0,1,410.037,1472.92,1,1,0,1,1,2019,4,1,1,1,1,0.81525393259636,110.498692942284,1,0
Borregaard ASA,BRG,2020,Mid,Basic Materials,Sweden,1,541.2543936,1075.0,1,1,1,6231600.0,1,1,1,55349.0,1,408.175,1315.307,1,1,1,0,1,2019,4,1,1,1,1,0.7541278275546918,102.26060176964447,1,0
Komplett Bank ASA,KOMP,2019,Mid,Finance,Norway,0,119.4254251,131.0,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,2,0,0,0,0,,,0,1
Komplett Bank ASA,KOMP,2020,Mid,Finance,Norway,1,131.5040939,135.0,1,0,1,,0,0,0,,0,,,0,0,0,0,0,2019,2,0,0,0,0,,,0,1
Vow ASA(formerly Scanship Holding),VOW,2019,Mid,Industrial Goods and Services,Norway,0,38.68424795,120.0,1,1,1,,1,0,0,,0,,,1,1,0,0,0,2019,4,0,0,0,0,,,0,1
Vow ASA(formerly Scanship Holding),VOW,2020,Mid,Industrial Goods and Services,Norway,1,46.70960401,128.0,1,1,1,,1,0,0,,0,,,0,1,0,0,0,2019,4,0,0,0,0,,,0,1
Vow ASA(formerly Scanship Holding),VOW,2021,Mid,Industrial Goods and Services,Norway,1,46.13055934,163.0,1,1,1,,0,0,0,,0,0.2093,0.0072,0,1,1,0,1,2019,4,0,0,1,1,0.004537122527766862,,0,1
Vow ASA(formerly Scanship Holding),VOW,2022,Mid,Industrial Goods and Services,Norway,0,77.48495784,251.0,1,1,1,,0,0,0,,0,0.2273,0.8988,0,1,1,1,1,2019,4,0,0,1,1,0.0029334725905040254,,0,1
Nykode Therapeutics AS,NYKD,2021,Mid,Health Care,Norway,0,35.766,93.0,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2021,1,0,0,0,0,,,0,1
Scatec Solar ASA,SCATC,2019,Large,Other,Norway,1,644.1618074,303.0,1,1,1,,1,0,0,,0,6.9053,4.0663,0,1,0,1,1,2019,3,0,0,1,1,0.010719822132689825,,0,1
Scatec Solar ASA,SCATC,2020,Large,Other,Norway,1,288.9128182,422.0,1,1,1,,1,0,0,5.93212,0,,,0,1,1,1,1,2019,3,0,1,0,0,,0.020532560780648672,0,1
Scatec Solar ASA,SCATC,2021,Large,Other,Norway,1,308.6206546,613.0,1,1,1,,1,0,0,11.0,0,5.868,25.11,1,1,1,1,1,2019,3,0,1,1,1,0.019013633444610028,0.03564246214906447,0,1
Entra ASA,ENTRA,2019,Large,Finance,Norway,1,268.0875272,177.0,1,1,1,482870.574,1,0,1,277.8,0,5.411,0.908,1,1,1,1,1,2019,4,1,1,1,1,0.02018370662937727,1.0362287380596944,0,1
Entra ASA,ENTRA,2020,Large,Finance,Norway,1,239.0337065,169.0,1,1,1,429994.0404,1,0,1,156.699,0,14.824,1.339,1,1,1,1,1,2019,4,1,1,1,1,0.0620163583498631,0.6555518980750944,0,1
Entra ASA,ENTRA,2021,Large,Finance,Norway,1,254.7796583,170.0,1,1,1,308692.8,1,0,1,153.369,0,4.055,1.237,1,1,1,1,1,2019,4,1,1,1,1,0.01591571331501389,0.6019672097189558,0,1
Entra ASA,ENTRA,2022,Large,Finance,Norway,0,312.5926122,205.0,1,1,1,,0,0,1,,0,3.59,31.082,1,1,0,1,1,2019,4,0,0,1,1,0.01148459643602543,,0,1
Aker Solutions ASA,AKSO,2019,Large,Energy and Utilities,Norway,1,2972.734107,15956.0,1,1,1,399348.0,1,0,0,,0,35.255,12867.0,0,1,1,1,1,2019,4,1,0,1,1,0.011859452857550842,,1,0
Aker Solutions ASA,AKSO,2020,Large,Energy and Utilities,Norway,1,2888.518661,14474.0,1,1,1,523872.0,0,0,1,,0,19.978,4.936,0,1,1,1,1,2019,4,1,0,1,1,0.006916347908614048,,1,0
Aker Solutions ASA,AKSO,2021,Large,Energy and Utilities,Norway,1,2965.826205,15000.0,1,1,1,573944.4,1,0,1,,0,20.834,3.181,0,1,1,1,1,2019,4,1,0,1,1,0.007024686734804813,,1,0
Aker Solutions ASA,AKSO,2022,Large,Energy and Utilities,Norway,0,4099.635282,15395.0,1,1,1,607388.4,0,0,0,,0,19.199,2730.807,1,1,1,1,1,2019,4,1,0,1,1,0.004683099514802156,,1,0
XXL ASA,XXL,2019,Mid,Consumer Goods and Services,Norway,1,913.468376,5568.0,1,1,1,150692.04,1,0,1,,0,2.4605,5.7625,0,1,1,0,1,2019,4,1,0,1,1,0.002693579837732664,,1,0
XXL ASA,XXL,2020,Mid,Consumer Goods and Services,Norway,1,1058.839066,5350.0,1,1,1,145396.08,1,0,1,,0,2.4862,4.3062,0,1,0,1,1,2019,4,1,0,1,1,0.0023480433238945117,,1,0
XXL ASA,XXL,2021,Mid,Consumer Goods and Services,Norway,1,1016.477377,5778.0,1,1,1,153984.96,0,1,1,,0,2.3321,3.5939,0,1,0,1,1,2019,4,1,0,1,1,0.0022942960195364978,,1,0
XXL ASA,XXL,2022,Mid,Consumer Goods and Services,Norway,0,834.0422263,4749.0,1,1,1,153984.96,0,0,1,,0,10.1725,,0,1,0,1,1,2019,4,1,0,1,0,0.01219662467825821,,1,0
Multiconsult ASA,MULTI,2019,Mid,Industrial Goods and Services,Norway,1,413.3244276,2994.0,1,1,1,13.1292,0,1,1,,0,,,0,0,0,0,1,2019,4,1,0,0,0,,,1,0
Multiconsult ASA,MULTI,2020,Mid,Industrial Goods and Services,Norway,1,371.8990634,2906.0,1,1,1,9.7704,1,0,1,,0,,,0,0,0,0,1,2019,4,1,0,0,0,,,1,0
Multiconsult ASA,MULTI,2021,Mid,Industrial Goods and Services,Norway,1,435.2654463,3189.0,1,1,0,,0,0,0,,0,4.08,10.967,0,1,1,0,1,2019,4,0,0,1,1,0.00937359037957707,,1,0
Multiconsult ASA,MULTI,2022,Mid,Industrial Goods and Services,Norway,0,494.5244723,3353.0,1,1,1,,0,0,0,,0,3.848,15.637,1,1,1,1,1,2019,4,0,0,1,1,0.007781212489046722,,1,0
Europris ASA,EPR,2019,Large,Consumer Goods and Services,Norway,0,624.19259,2808.0,1,1,1,,0,0,0,,0,,,0,1,1,0,1,2019,4,0,0,0,0,,,1,0
Europris ASA,EPR,2020,Large,Consumer Goods and Services,Norway,0,814.0149129,3105.0,1,1,1,39148.2,1,0,1,,0,4.2471,7.222,0,1,1,0,0,2019,4,1,0,1,1,0.005217471980788817,,1,0
Europris ASA,EPR,2021,Large,Consumer Goods and Services,Norway,0,878.5225218,3296.0,1,1,1,,1,0,1,,0,1.582,7.6644,0,1,1,0,1,2019,4,0,0,1,1,0.001800750647528818,,1,0
Europris ASA,EPR,2022,Large,Consumer Goods and Services,Norway,0,883.8212635,3439.0,1,1,1,159205.3199,0,0,1,,0,1.2532,7.7993,1,1,1,0,1,2019,4,1,0,1,1,0.0014179337517149474,,1,0
Schibsted ASA,SCHBO,2021,Large,Other,Norway,1,1485.503566,5681.0,1,1,1,112172.4,0,1,1,,0,0.724,11.895,0,1,0,0,1,2019,4,1,0,1,1,0.00048737681724286076,,1,0
Schibsted ASA,SCHBO,2022,Large,Other,Norway,0,1511.689162,6161.0,1,1,1,116737.2,0,0,1,,0,0.628,22.004,0,1,0,0,1,2019,4,1,0,1,1,0.00041542931958918154,,1,0
Sbanken,SBANK,2019,Large,Finance,Norway,1,182.8388427,404.0,1,1,1,,0,0,0,,0,0.28742,,0,1,1,0,1,2019,4,0,0,1,0,0.001571985447707059,,0,1
Sbanken,SBANK,2020,Large,Finance,Norway,0,187.986042,353.0,1,1,1,,0,0,1,,0,171.92,87.02,0,1,0,0,1,2019,4,0,0,1,1,0.9145359845386818,,0,1
Sbanken,SBANK,2021,Large,Finance,Norway,1,154.1792804,305.0,1,1,1,,0,0,0,,0,0.07134,0.01463,0,1,0,0,1,2019,4,0,0,1,1,0.0004627080877204561,,0,1
Sbanken,SBANK,2022,Large,Finance,Norway,0,,,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,0
Kid ASA,KID,2019,Mid,Consumer Goods and Services,Norway,0,237.9162519,1033.0,1,1,1,,0,0,0,,0,490.9,4418.1,0,1,0,1,1,2019,3,0,0,1,1,2.063331092683543,,1,0
Kid ASA,KID,2020,Mid,Consumer Goods and Services,Norway,1,304.2176802,2039.0,1,1,1,,0,0,1,,0,0.93727,92.78973,0,1,0,1,1,2019,3,0,0,1,1,0.0030809188978885653,,1,0
Kid ASA,KID,2021,Mid,Consumer Goods and Services,Norway,1,315.640911,2118.0,1,1,1,,1,0,0,,0,0.710526316,87.5,0,1,0,0,1,2019,3,0,0,1,1,0.002251059008000392,,1,0
SpareBank 1 Østlandet,SPOL,2019,Large,Finance,Norway,1,435.7057234,1190.0,1,1,1,26184.96,1,1,1,2624.0,0,237.0,0.2023,1,1,0,1,1,2019,4,1,1,1,1,0.5439451154108939,6.022413429696985,1,0
SpareBank 1 Østlandet,SPOL,2020,Large,Finance,Norway,0,396.37,698.0,1,1,1,210721.7745,0,0,0,,0,0.71418,0.74758,0,1,0,0,1,2019,4,1,0,1,1,0.0018018013472260767,,0,1
SpareBank 1 Østlandet,SPOL,2021,Large,Finance,Norway,1,449.3183527,1127.0,1,1,1,29179.44,0,0,1,,0,0.56749,0.12383,0,1,0,0,1,2019,4,1,0,1,1,0.0012630020487476073,,1,0
SpareBank 1 Østlandet,SPOL,2022,Large,Finance,Norway,0,439.7875162,1121.0,1,1,1,21611.2068,0,0,1,,0,0.524,0.179,0,1,0,0,1,2019,4,1,0,1,1,0.0011914844798861983,,1,0
Treasure ASA,TRE,2019,Mid,Industrial Goods and Services,Norway,0,11.29,,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,0
Treasure ASA,TRE,2020,Mid,Industrial Goods and Services,Norway,0,10.97053571,,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,0
Treasure ASA,TRE,2021,Mid,Industrial Goods and Services,Norway,1,11.4375,,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,0
Treasure ASA,TRE,2022,Mid,Industrial Goods and Services,Norway,0,,,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,0
Arcus asa,ARCUS,2019,Mid,Consumer Goods and Services,Norway,1,275.300189,435.0,1,1,1,,1,0,1,,0,,,0,1,0,1,1,2019,2,0,0,0,0,,,0,1
Arcus asa,ARCUS,2020,Mid,Consumer Goods and Services,Norway,0,320.6453808,423.0,1,1,1,,0,0,0,,0,,,0,1,0,0,0,2019,2,0,0,0,0,,,0,1
Self Storage Group ASA,SSGO,2019,Mid,Industrial Goods and Services,Norway,0,27.07287836,94.0,1,1,1,,0,0,1,,0,,,0,1,0,0,0,2019,2,0,0,0,0,,,0,1
Self Storage Group ASA,SSGO,2020,Mid,Industrial Goods and Services,Norway,1,29.80028038,73.0,1,1,0,,0,0,1,,0,,,0,1,0,0,0,2019,2,0,0,0,0,,,0,1
MPC Container Ships ASA,MPCC,2020,Large,Industrial Goods and Services,Norway,1,153.4821429,,1,0,1,,0,0,0,,0,,,0,1,0,0,0,2020,3,0,0,0,0,,,0,0
MPC Container Ships ASA,MPCC,2021,Large,Industrial Goods and Services,Norway,1,343.4910714,22.0,1,1,1,24508042.0,0,0,1,,1,1758.05238,,0,1,0,0,0,2020,3,1,0,1,0,5.1181894563795645,,0,1
MPC Container Ships ASA,MPCC,2022,Large,Industrial Goods and Services,Norway,0,585.7279522,21.0,1,1,1,25224000.0,0,0,1,,0,1810.21482,338.694,0,1,0,1,1,2020,3,1,0,1,1,3.0905385566811607,,0,1
Fjord1 ASA,FJORD,2019,Mid,Industrial Goods and Services,Norway,0,270.5002133,1066.0,1,1,1,,0,0,0,,0,,,0,1,0,0,1,2019,2,0,0,0,0,,,1,0
Fjord1 ASA,FJORD,2020,Mid,Industrial Goods and Services,Norway,1,314.9190353,1165.0,1,1,1,,0,0,1,,0,,,0,0,0,0,0,2019,2,0,0,0,0,,,1,0
Crayon Group Holding ASA,CRAYN,2019,Large,Finance,Norway,0,1383.410878,1354.0,1,1,1,,0,0,0,,0,,,0,1,0,1,1,2019,3,0,0,0,0,,,1,0
Crayon Group Holding ASA,CRAYN,2020,Large,Finance,Norway,1,1991.045633,1727.0,1,0,1,1321.158,0,0,0,,0,0.05003,0.08999,0,0,1,0,1,2019,3,1,0,1,1,2.5127500430322884e-05,,1,0
Crayon Group Holding ASA,CRAYN,2021,Large,Finance,Norway,1,2685.785063,2896.0,1,1,1,28708.56,0,0,1,,0,1.3423,0.6098,0,1,0,0,1,2019,3,1,0,1,1,0.000499779382383139,,1,0
Fjordkraft Holding ASA,FKRAFT,2019,Mid,Energy and Utilities,Norway,1,723.5547248,293.0,1,1,1,2325.6,1,0,0,,0,0.0001,0.0001,0,1,0,0,1,2019,2,1,0,1,1,1.3820654688923677e-07,,0,1
Elkem ASA,ELK,2019,Large,Basic Materials,Norway,1,2259.899632,6523.0,1,1,1,26676000.0,0,0,0,80000.0,1,,,0,0,1,1,1,2019,4,1,1,0,0,,35.39980221564105,1,0
Elkem ASA,ELK,2020,Large,Basic Materials,Norway,1,2440.622524,6836.0,1,1,1,23040000.0,0,0,1,86900.0,0,3206.0,,0,1,1,1,1,2019,4,1,1,1,0,1.313599283983335,35.605669924563884,1,0
Elkem ASA,ELK,2021,Large,Basic Materials,Norway,1,3425.20165,7065.0,1,1,1,25282800.0,1,1,1,85654.0,1,3421.0,8350.0,1,1,1,1,1,2019,4,1,1,1,1,0.998773313098223,25.006994843646652,1,0
Elkem ASA,ELK,2022,Large,Basic Materials,Norway,0,4543.382,7372.0,1,1,1,23544000.0,1,1,1,89587.0,0,3360.0,7380.0,0,1,1,1,1,2019,4,1,1,1,1,0.73953719938143,19.718130678864338,1,0
Kahoot! AS,KAHOT,2021,Large,Technology,Norway,0,81.26428571,278.0,0,0,1,,0,0,0,,0,,,0,1,0,0,0,2021,1,0,0,0,0,,,0,1
Axactor SE,ACR,2019,Mid,Finance,Sweden,0,368.1,1140.0,1,0,0,,0,0,0,,0,,,0,1,0,0,0,2019,3,0,0,0,0,,,1,0
Axactor SE,ACR,2020,Mid,Finance,Sweden,0,201.2,1137.0,1,0,1,5751.542,1,0,0,,0,0.495177,0.1753,0,1,0,1,1,2019,3,1,0,1,1,0.002461118290258449,,1,0
Axactor SE,ACR,2021,Mid,Finance,Sweden,1,195.1,1225.0,1,1,1,4655.2356,1,0,0,,0,0.707504,0.144031,0,1,0,0,1,2019,3,1,0,1,1,0.0036263659661711946,,1,0
Adevinta ASA,ADE,2019,Large,Other,Norway,1,680.3,3564.0,1,1,1,16275.6,0,0,0,,0,1138.0,3671.0,0,0,0,0,0,2019,4,1,0,1,1,1.6727914155519625,,1,0
Adevinta ASA,ADE,2020,Large,Other,Norway,0,673.5,3895.0,1,1,1,23745.6,0,0,0,,0,1.551,3.053,0,1,0,1,1,2019,4,1,0,1,1,0.0023028953229398664,,1,0
Adevinta ASA,ADE,2021,Large,Other,Norway,1,1139.0,5373.0,1,0,0,19616.4,1,0,0,,0,1.437,3.273,0,1,0,1,0,2019,4,1,0,1,1,0.0012616330114135206,,1,0
Adevinta ASA,ADE,2022,Large,Other,Norway,0,1644.0,5471.0,1,0,1,61394.4,1,0,0,,0,1.333,38.946,0,1,0,1,1,2019,4,1,0,1,1,0.0008108272506082725,,1,0
Norske Skog ASA,NSKOG,2019,Mid,Basic Materials,Norway,1,1315.955221,2359.0,1,1,1,34264800.0,0,1,1,46000.0,1,1153.0,,1,0,0,0,0,2019,4,1,1,1,0,0.8761696306990069,34.955596714791255,1,0
Norske Skog ASA,NSKOG,2020,Mid,Basic Materials,Norway,1,931.8555842,2319.0,1,1,1,35409600.0,1,1,1,,1,602.624,,1,1,0,0,1,2019,4,1,0,1,0,0.6466924813433983,,1,0
Norske Skog ASA,NSKOG,2021,Mid,Basic Materials,Norway,1,1047.867693,2086.0,1,1,1,35625600.0,0,1,1,,1,644.0,,1,1,0,0,1,2019,4,1,0,1,0,0.6145814059370949,,1,0
Norske Skog ASA,NSKOG,2022,Mid,Basic Materials,Norway,0,1101.850935,2140.0,1,1,1,24840000.0,0,1,1,99440.889,1,472.734,752.0,1,1,0,0,1,2019,4,1,1,1,1,0.42903625616109314,90.2489491466466,1,0
Prosafe SE,PRS,2021,Large,Energy and Utilities,Cyprus,1,125.9821429,97.0,1,1,1,19612.8,0,0,0,94236.0,0,0.0644,1.965,0,1,1,1,1,2019,4,1,1,1,1,0.000511183557586557,748.0107722473103,0,1
Prosafe SE,PRS,2022,Large,Energy and Utilities,Cyprus,0,188.8801713,2.0,1,0,1,61394.4,0,0,0,,0,24.388,95.652,0,1,0,1,1,2019,4,1,0,1,1,0.12911890026436038,,0,0
Prosafe SE,PRS,2019,Large,Energy and Utilities,Cyprus,0,201.2679704,150.0,1,1,1,1947.8268,0,0,1,123245.0,0,,,0,1,1,1,1,2019,4,1,1,0,0,,612.3428370399068,0,1
Prosafe SE,PRS,2020,Large,Energy and Utilities,Cyprus,0,49.6497373,99.0,1,1,1,940.5108,0,0,1,44289.0,0,,,0,1,1,1,1,2019,4,1,1,0,0,,892.0288889423792,0,1
SATS ASA,SATS,2019,Mid,Consumer Goods and Services,Norway,1,405.0265142,9600.0,1,0,1,,0,0,1,,0,,,0,1,0,0,1,2019,2,0,0,0,0,,,1,0
SATS ASA,SATS,2020,Mid,Consumer Goods and Services,Norway,1,359.0077003,1802.0,1,1,1,,0,0,0,,0,3.948,0.16,0,1,0,0,0,2019,2,0,0,1,1,0.010996978607146605,,1,0
Aker Carbon Capture AS,ACC,2021,Large,Energy and Utilities,Norway,1,36.89398403,55.0,1,1,1,3347.532,0,0,1,1.352,0,0.0032,0.0811,0,1,0,1,1,2021,1,1,1,1,1,8.673500800016474e-05,0.036645540880069605,0,1
BEWi ASA,BEWI,2021,Large,Industrial Goods and Services,Norway,1,748.2,2089.0,1,1,1,,0,1,1,,0,48.0,613.0,1,1,0,1,1,2021,1,0,0,1,1,0.06415396952686447,,1,0
Link Mobility Group ASA,LINK,2020,Mid,Technology,Norway,0,359.5156342,492.0,1,1,1,,0,0,1,,0,,,0,0,0,0,1,2020,3,0,0,0,0,,,0,1
Link Mobility Group ASA,LINK,2021,Mid,Technology,Norway,1,448.0115403,706.0,1,0,0,,0,0,0,,0,,,0,1,0,0,1,2020,3,0,0,0,0,,,0,1
Link Mobility Group ASA,LINK,2022,Mid,Technology,Norway,0,513.7336842,700.0,0,1,1,,0,0,0,,0,0.3084,,0,1,0,1,1,2020,3,0,0,1,0,0.0006003110356297716,,0,1
Aker Horizons AS,AKH,2021,Large,Energy and Utilities,Norway,0,125.7644406,38.0,1,1,1,1169.28,1,0,0,0.000835,0,0.002,53.754,1,1,0,0,0,2021,1,1,1,1,1,1.5902746360245808e-05,6.639396605402624e-06,0,1
Salmones Camanchaca S.A.,SACAM,2019,Large,Consumer Goods and Services,Chile,1,302.6419643,1559.0,1,1,1,483537.0,0,0,0,35583.336,1,36.65396,,1,0,0,0,0,2019,4,1,1,1,0,0.12111327682127392,117.57568413323969,1,0
Sparebanken Møre,MORG,2021,Mid,Finance,Norway,1,231.5162844,363.0,1,0,1,11993.4,1,0,0,,0,0.0929,0.0426,1,1,0,1,1,2019,4,1,0,1,1,0.0004012676699643855,,0,1
Sparebanken Møre,MORG,2022,Mid,Finance,Norway,0,173.816538,385.0,1,1,1,11817.72,0,0,0,,0,0.074,0.0998,0,1,0,0,0,2019,4,1,0,1,1,0.00042573624380897514,,0,1
Borregaard ASA,BRG,2021,Mid,Basic Materials,Sweden,1,580.5684797,1090.0,1,1,1,6343200.0,1,1,1,57610.0,1,218.103,364.245,1,1,1,1,1,2019,4,1,1,1,1,0.3756714455333528,99.230326850967,1,0
Borregaard ASA,BRG,2022,Mid,Basic Materials,Sweden,0,681.0848263,1107.0,1,1,1,6411600.0,1,1,1,54468.0,1,214.279,354.303,1,1,1,0,1,2019,4,1,1,1,1,0.31461426202088916,79.97241737992893,1,0
Bergman & Beving AB,BERG,2019,Mid,Industrial Goods and Services,Sweden,1,372.64,1085.0,1,1,1,,1,0,1,,0,,,1,1,1,0,0,2019,4,0,0,0,0,,,1,0
Bergman & Beving AB,BERG,2020,Mid,Industrial Goods and Services,Sweden,1,410.4932394,1077.0,1,1,1,,0,0,1,,0,,,1,1,0,0,1,2019,4,0,0,0,0,,,1,0
Bergman & Beving AB,BERG,2021,Mid,Industrial Goods and Services,Sweden,1,435.6313083,1214.0,1,1,1,,0,0,1,,0,,,1,1,1,1,1,2019,4,0,0,0,0,,,1,0
Bergman & Beving AB,BERG,2022,Mid,Industrial Goods and Services,Sweden,0,446.772331,1348.0,0,1,1,37008.0,0,0,1,,0,1.763,,0,1,0,0,1,2019,4,1,0,1,0,0.0039460814326928405,,1,0
Hexagon AB,HEXA,2019,Large,Technology,Sweden,1,3907.7,20250.0,1,1,1,,0,0,0,,0,,,0,1,1,1,1,2019,4,0,0,0,0,,,1,0
Electrolux AB,ELUX,2019,Large,Consumer Goods and Services,Sweden,1,11329.36584,51253.0,1,1,1,3622161.6,1,0,1,2638.0,1,,,1,1,1,1,1,2019,4,1,1,0,0,,0.23284621904309516,1,0
Electrolux AB,ELUX,2020,Large,Consumer Goods and Services,Sweden,1,11041.70634,47533.0,1,1,1,,1,0,1,3192.0,0,110.0,,1,1,1,1,1,2019,4,0,1,1,0,0.009962228356093013,0.2890857537513536,1,0
Haldex AB,HLDX,2019,Mid,Consumer Goods and Services,Sweden,1,490.4780042,2172.0,1,1,1,,0,1,0,,0,,,0,1,0,1,1,2019,4,0,0,0,0,,,1,0
Haldex AB,HLDX,2020,Mid,Consumer Goods and Services,Sweden,1,381.5463721,1981.0,1,1,1,,0,0,1,,0,,,1,1,0,0,1,2019,4,0,0,0,0,,,1,0
Haldex AB,HLDX,2021,Mid,Consumer Goods and Services,Sweden,1,439.1544468,1994.0,1,1,1,,0,0,1,,0,9.416,26.627,0,1,0,1,1,2019,4,0,0,1,1,0.02144120381476688,,1,0
Haldex AB,HLDX,2022,Mid,Consumer Goods and Services,Sweden,0,471.1194732,1882.0,1,1,1,,0,0,1,,0,9.067,26.848,1,1,0,0,1,2019,4,0,0,1,1,0.019245648961215556,,1,0
Peab AB,PEAB,2019,Large,Industrial Goods and Services,Sweden,1,5142.639497,14258.0,1,1,1,2290212.0,0,0,1,,0,106.3,281.0,1,1,1,1,1,2019,4,1,0,1,1,0.02067031921292771,,1,0
Peab AB,PEAB,2020,Large,Industrial Goods and Services,Sweden,1,5699.104932,15252.0,1,1,1,,0,0,0,,0,230.0,219.0,0,1,0,0,0,2019,4,0,0,1,1,0.04035721446512928,,1,0
